Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
154,Patrick McCaw,23,TOR,SG,11,0,48,5.7,.425,.600,.400,4.6,2.3,3.5,11.0,2.1,0.0,14.5,6.5,0.0,0.0,0.1,.067,-2.8,1.7,-1.1,0.0,,mccawpa01
155,Jerome Robinson,21,LAC,SG,5,0,46,15.7,.556,.429,.357,4.6,10.3,7.3,21.1,2.0,0.0,5.8,15.6,0.1,0.0,0.1,.095,2.6,1.6,4.2,0.1,,robinje01
156,D.J. Wilson,22,MIL,PF,8,0,43,6.6,.563,.313,.125,2.4,20.2,11.7,14.7,0.0,2.1,29.3,23.9,-0.1,0.1,0.0,-0.040,-7.9,0.7,-7.1,-0.1,,wilsodj01
157,Daniel Theis,26,BOS,C,7,0,42,7.9,.403,.143,.143,10.2,14.0,12.2,0.0,1.2,2.2,6.3,16.7,0.0,0.1,0.0,.023,-3.0,-1.2,-4.2,0.0,,theisda01
158,Thabo Sefolosha,34,UTA,SF,4,0,42,-4.7,.179,.571,.000,2.4,18.2,10.0,7.1,0.0,0.0,6.7,15.3,-0.2,0.0,-0.2,-0.199,-8.8,-2.3,-11.1,-0.1,,sefolth01
159,Ed Davis,29,BRK,C,3,0,41,19.4,.735,.000,.200,9.3,40.8,23.8,7.8,0.0,1.8,0.0,10.8,0.2,0.0,0.2,.226,1.7,2.1,3.8,0.1,,davised01
160,Tim Frazier,28,MIL,PG,11,0,40,22.9,.756,.462,.154,0.0,21.8,11.3,40.5,1.2,0.0,17.8,18.2,0.2,0.1,0.2,.288,2.5,4.1,6.6,0.1,,fraziti01
161,Ivica Zubac,21,LAC,C,4,3,39,22.8,.518,.000,.167,29.6,33.4,31.4,4.3,2.4,4.3,17.2,24.9,0.0,0.0,0.1,.069,2.2,-2.4,-0.2,0.0,,zubaciv01
162,Furkan Korkmaz,21,PHI,SG,4,0,36,12.2,.470,.444,.278,0.0,17.2,9.0,21.2,0.0,2.5,4.7,25.0,0.0,0.0,0.1,.090,-1.3,-0.1,-1.4,0.0,,korkmfu01
163,Glenn Robinson III,25,DET,SF,3,0,36,7.5,.388,.533,.267,4.9,16.2,9.8,8.3,2.7,0.0,5.6,20.8,-0.1,0.0,-0.1,-0.087,-4.7,-0.4,-5.1,0.0,,robingl02
164,Semi Ojeleye,24,BOS,PF,6,0,34,9.9,.658,.556,.222,3.1,2.9,3.0,9.4,0.0,0.0,9.2,14.1,0.1,0.0,0.1,.130,-0.2,-0.7,-1.0,0.0,,ojelese01
165,Marcus Smart,24,BOS,SG,2,0,32,3.2,.257,1.000,.545,13.4,0.0,6.4,17.6,4.5,0.0,18.0,23.0,-0.1,0.1,-0.1,-0.130,-5.2,0.6,-4.6,0.0,,smartma01
